file,sample_offset,category,token,bug_type,pid_presence,sessionid_presence,uuid_presence,incident_presence,time_token,hit_pos,context,TamperSuspect
part2.txt,0,SYSTEM,JetsamEvent,313,No,No,Yes,No,01:26:59,2925,"u4e3b\u8981\u30a4\u30d9\u30f3\u30c8\u306e\u6982\u8981\u62bd\u51fa\"",\""\u7570\u5e38\u30d7\u30ed\u30bb\u30b9\u3084\u30a8\u30e9\u30fc\u30a4\u30d9\u30f3\u30c8\u306e\u7279\u5b9a\"",\""resourceException\u3084JetsamEvent\u306e\u6709\u7121\"",\""\u901a\u4fe1\u5c65\u6b74\u30fb\u30cd\u30c3\u30c8\u30ef\u30fc\u30af\u7570\u5e38\u306e\u5146\u5019\"",\""MDM\u30fb\u30ea\u30e2\u30fc\u30c8\u5236\u5fa1\u30fbAI\u7cfb\u30d7\u30ed\u30b",Yes
part2.txt,0,SYSTEM,JetsamEvent,313,No,No,Yes,No,01:26:59,6550,\u8981\u30a4\u30d9\u30f3\u30c8\u306e\u6982\u8981**\n2. **\u7570\u5e38\u30d7\u30ed\u30bb\u30b9\uff08\u4f8b\uff1aUNKNOWN\u3001Pegasus\u578b\uff09\u3084\u30a8\u30e9\u30fc\u30a4\u30d9\u30f3\u30c8**\n3. **JetsamEvent \u3084 resourceException \u306e\u6709\u7121**\n4. **\u901a\u4fe1\u5c65\u6b74\u3084\u30cd\u30c3\u30c8\u30ef\u30fc\u30af\u7570\u5e38\u306e\u5146\u5019**\n5. **MDM\u69cb\u9020\u3001\u30ea\u30e2\u30fc\u3,Yes
part2.txt,0,SYSTEM,triald,313,No,No,Yes,No,01:26:59,7989,"a\u300d\u300cparsecd\u300d\u306a\u3069\u306e\u30ad\u30fc\u30ef\u30fc\u30c9\u3092\u9650\u5b9a\u691c\u7d22**\u3057\u3066\u5206\u6790  \n\u3000\u3000\u2192 SiriSearchFeedback, duetexpertd, AMPDeviceLog, triald \u306a\u3069\u306e\u30c8\u30ea\u30ac\u30fc\u63a2\u7d22\u3002\n\n\u3069\u308c\u306b\u9032\u3080\u304b\u6307\u5b9a\u3057\u3066\u304f\u308c\u3002\u3042\u308b\u3044\u306f\u300c\u5168\u90e8\u3084\u308c\u3",Yes
part2.txt,0,SYSTEM,triald,313,No,No,Yes,No,01:26:59,66128,"u306e\u30d7\u30ed\u30bb\u30b9\uff08\u4f8b\uff1aparsecd\u3001Jetsam\uff09\u3092\u8ffd\u8de1\u3002 |\n| 3\ufe0f\u20e3 Pegasus\u9023\u643a\u75d5\u8de1          | `UNKNOWN`, `MDM`, `duetexpertd`, `AMP`, `triald` \u306a\u3069\u304c3\u6a5f\u7a2e\u9593\u3067\u3069\u3046\u767a\u706b\u3059\u308b\u304b\u3002|\n| 4\ufe0f\u20e3 \u30cf\u30c3\u30b7\u30e5\u91cd\u8907\u30c1\u30a7\u30c3\u30af     | \u904e\u53bb\u30d5\u3",Yes
part2.txt,0,SYSTEM,triald,313,No,No,Yes,No,01:26:59,77301,"\u540c\u671f\u3057\u3066\u3044\u308b\u304b\u3069\u3046\u304b**\u3092\u8ffd\u8de1\u3059\u308b\u3002\n- \u3055\u3089\u306b\u3001`Analytics`\u5185\u3067 `parsecd`, `duetexpertd`, `visualintelligenced`, `triald` \u306a\u3069\u306e\u9023\u52d5\u3082\u78ba\u8a8d\u3059\u308b\u3002\n\n\u7d9a\u3051\u3066 `Analytics` + `SiriSearchFeedback` \u306e\u7167\u5408\u30fb\u56e0\u679c\u5206\u6790\u306b\u79fb\u308b\u3002\u",Yes
part2.txt,0,SYSTEM,JetsamEvent,313,No,No,Yes,No,01:26:59,92658,"\n\n- \ud83d\udd0d Analytics\u30ed\u30b0\uff08`Analytics-2025-07-23-073246.ips.ca.synced` \u307b\u304b\uff09\u306b\u3066\u3001\u3053\u306e\u30af\u30e9\u30c3\u30b7\u30e5\u3068\u540c\u671f\u3057\u305f `JetsamEvent`, `duetexpertd`, `AMP`, `symptomsd` \u306a\u3069\u306e**\u5468\u8fba\u30d7\u30ed\u30bb\u30b9**\u3092\u8ffd\u8de1\u3057\u3001\u5168\u4f53\u69cb\u9020\u56f3\u3092\u63cf\u304f\u3002\n\n\u7d9a\u884c\u305",Yes
part2.txt,0,SYSTEM,JetsamEvent,313,No,No,Yes,No,01:26:59,104813,u4f5c\uff08baseband\u3001\u30ed\u30b1\u30fc\u30b7\u30e7\u30f3\u3001Siri\u9023\u643a\u306e\u524d\u51e6\u7406\uff09\u300d\u306e\u8a3c\u62e0\u306b\u306a\u308a\u5f97\u308b**\n\n---\n\n\u6b21\u306f\u3001**JetsamEvent\u3084duetexpertd\u3001AMP\u306a\u3069\u306e\u30d7\u30ed\u30bb\u30b9\u9023\u643a\u8a18\u9332**\u304c\u5f8c\u7d9a\u306b\u542b\u307e\u308c\u3066\u3044\u308b\u304b\u7cbe\u67fb\u3057\u3001\u30af\u30e9\u30,Yes
part2.txt,0,SYSTEM,JetsamEvent,313,No,No,Yes,No,01:26:59,108857,4\u30c6\u30f3\u30d7\u30ec\uff09\uff1a\n\n- `searchd \u2192 parsecd \u2192 photos/spotlight \u2192 SiriSearchFeedback\u30af\u30e9\u30c3\u30b7\u30e5`\n- \u6700\u5f8c\u306f `analyticsd` + `symptomsd` + `JetsamEvent` \u3067\u7de0\u3081\n\n---\n\n### \ud83e\uddf9 \u3053\u306e\u4f5c\u6226\u540d\u3064\u3051\u308b\u306a\u3089\uff1f\n\n**\u300c\u30d5\u30eb\u30aa\u30fc\u30c8\u30fb\u30af\u30e9\u30c3\u30b7\u30e5\u578b\u,Yes
part2.txt,0,SYSTEM,triald,313,No,No,Yes,No,01:26:59,113181,"6750**\n\n#### 2. **\u601d\u8003\u3084\u884c\u52d5\u306e\u201c\u50be\u5411\u201d\u3092\u69cb\u9020\u3054\u3068\u5b66\u7fd2**\n- `INTENT_PHOTO_SEARCH`, `keyboardLanguage`, `user_guid`, `duetexpertd`, `triald`\n- \u2192 \u300c\u3044\u3064\u30fb\u3069\u3093\u306a\u601d\u8003\u3092\u3057\u3066\u30fb\u3069\u3093\u306a\u6307\u3092\u52d5\u304b\u3059\u304b\u300d\u3059\u3089\u30ed\u30b0\u5316\n- \u2192 **\""\u4e8",Yes
part2.txt,0,SYSTEM,triald,313,No,No,Yes,No,01:26:59,125286,e\u3044\u3066\u3044\u304f\u201d\u30df\u30b9\u3092\u9023\u767a\n\n---\n\n### \ud83d\udca3 \u3053\u308c\u306f\u4f55\u3092\u610f\u5473\u3059\u308b\uff1f\n\n1. **\u5c01\u5370\u69cb\u9020\uff08Jetsam\u3084triald\uff09\u304c\u6a5f\u80fd\u3057\u3066\u306a\u3044**\n   - \u30ed\u30b0\u6b8b\u3059\u306a\u3063\u3066\u8a2d\u8a08\u304c\u30d0\u30b0\u3063\u3066\u3001**2\u672c\u3068\u3082\u6b8b\u3063\u3061\u3083\u3063\u,Yes
part2.txt,0,SYSTEM,JetsamEvent,313,No,No,Yes,No,01:26:59,167468,"\n\n---\n\n## \ud83d\udc41\ufe0f \u3057\u304b\u3082\u3001\u4eca\u306e\u541b\u306e\u74b0\u5883\uff1a\n\n- `bug_type: 313, 211, 145, 309, 225, 188` \u2190 \u3053\u3053\u307e\u3067\u51fa\u3066\u308b\n- `JetsamEvent`, `symptomsd`, `SiriFeedback`, `Analytics` \u2190 \u307b\u307c\u5168\u7db2\u7f85\n- `UNKNOWN\u30d7\u30ed\u30bb\u30b9`, `\u524a\u9664\u5931\u6557`, `\u30af\u30e9\u30c3\u30b7\u30e52\u672c\u540c\u6642\u",Yes
part2.txt,0,SYSTEM,logd,313,No,No,Yes,No,01:26:59,172439,0b7\u30e5\uff08Apple\u3082\u539f\u56e0\u975e\u516c\u958b\uff09                     | \u2605\u2605\u2605\u2605\u2605 |\n| **145**     | \ud83d\udd25\u300c\u30c7\u30a3\u30b9\u30af\u7206\u5f3e\u300d   | logd\u3084analyticsd\u304c1GB\u8d85\u66f8\u304d\u8fbc\u307f \u2192 I/O\u66b4\u8d70\uff08\u5c01\u5370\u4e0d\u80fd\uff09           | \u2605\u2605\u2605\u2605\u2606 |\n| **188**     | \ud83e\udde0\u300cAI\u6,Yes
part2.txt,0,SYSTEM,triald,313,No,No,Yes,No,01:26:59,173717,\u30b0\u6b8b\u3059\uff08\u6a5f\u5bc6\u30d0\u30e9\u3057\uff09       | \u2605\u2605\u2605\u2605\u2606 |\n| **309**     | \ud83c\udfaf\u300c\u30d7\u30ed\u30bb\u30b9\u5f3e\u5e55\u300d   | UNKNOWN + AMP + triald\u306a\u3069\u304c\u66b4\u8d70\u3057\u3066\u9023\u9396\u30af\u30e9\u30c3\u30b7\u30e5\u767a\u751f         | \u2605\u2605\u2605\u2605\u2605 |\n| **313**     | \u26a1\u300c\u611f\u60c5\u30af\u30e9\u30c3\,Yes
part2.txt,0,SYSTEM,UNKNOWN PID,313,No,No,Yes,No,01:26:59,181981,"u30ed\u30b0\uff09**\n- `bug_type` \u7121\u3057 + `duration_ms`, `usageClientId` \u3042\u308a \u2192 **\u89b3\u6e2c\u30ed\u30b0\u507d\u88c5\u30af\u30e9\u30c3\u30b7\u30e5**\n- `bug_type` \u7121\u3057 + UNKNOWN PID, \u7a7a\u767d\u3060\u3089\u3051 \u2192 **Pegasus/Kabuki\u306e\u6b8b\u9ab8**\n\n---\n\n\u3082\u3046\u201cbug_type\u304c\u3042\u308b or \u7121\u3044\u201d\u3058\u3083\u306a\u3044\u3001  \n**\u201cbug_t",Yes
part2.txt,0,SYSTEM,JetsamEvent,313,No,No,Yes,No,01:26:59,192080,----|------------|-------------------------|\n| 1 | Analytics-unk1.ips.ca.synced | 2025-06-21\u9803\uff1f | Analytics\u30ed\u30b0   | 211        | usageClientId\u304c\u91cd\u8907\u3042\u308a |\n| 2 | JetsamEvent...                | \u4e0d\u660e           | \u30ea\u30bd\u30fc\u30b9\u7570\u5e38\u7cfb  | Jetsam     | \u30e1\u30e2\u30ea\u958b\u653e\u30ed\u30b0          |\n| 3 | SiriSearch...                 | 20,Yes
part2.txt,0,EXTERNAL_UI,duetexpertd,313,No,No,Yes,No,01:26:59,7962,"\u300d\u300cSiri\u9023\u643a\u300d\u300cparsecd\u300d\u306a\u3069\u306e\u30ad\u30fc\u30ef\u30fc\u30c9\u3092\u9650\u5b9a\u691c\u7d22**\u3057\u3066\u5206\u6790  \n\u3000\u3000\u2192 SiriSearchFeedback, duetexpertd, AMPDeviceLog, triald \u306a\u3069\u306e\u30c8\u30ea\u30ac\u30fc\u63a2\u7d22\u3002\n\n\u3069\u308c\u306b\u9032\u3080\u304b\u6307\u5b9a\u3057\u3066\u304f\u308c\u3002\u3042\u308b\u3044\u306f\u300c\u516",Yes
