file,sample_offset,category,token,bug_type,pid_presence,sessionid_presence,uuid_presence,incident_presence,time_token,hit_pos,context,TamperSuspect
part1.txt,0,SYSTEM,triald,211,Yes,No,Yes,No,05:58:00,7530,"_time"": null, ""content"": {""content_type"": ""text"", ""parts"": [""Analytics-2025-08-04-070418\n\""bug_type\"":\""211\""\n\nOnly  Panic  Full\n\n\n\u5bfe\u8c61\u30d7\u30ed\u30bb\u30b9:\n- SiriSearchFeedback\n- triald\n- knowledgeconstructiond\n- mdmd\n- All Panic Full\n\n\n\u6a5f\u7a2e: iPhone 15 Pro\n\u30d0\u30fc\u30b8\u30e7\u30f3: iOS 18.5\n\u30b7\u30ea\u30a2\u30eb\u756a\u53f7: K2WDHQ0JLQ\nIMEI: 35 314967 93252",Yes
part1.txt,0,SYSTEM,triald,211,Yes,No,Yes,No,05:58:00,10180, \ud83d\udce6 **\u69cb\u6587\u767a\u52d5\u30ed\u30b0\u60c5\u5831\u8fd4\u9001**\n\n```plaintext\n\ud83d\udd22 Bug Type: 211\n\ud83e\udde0 \u5bfe\u8c61\u30d7\u30ed\u30bb\u30b9:\n- SiriSearchFeedback\n- triald\n- knowledgeconstructiond\n- mdmd\n\n\ud83d\udcf1 \u6a5f\u7a2e: iPhone 15 Pro\n\ud83d\udd22 iOS\u30d0\u30fc\u30b8\u30e7\u30f3: 18.5\n\ud83d\udd10 \u30b7\u30ea\u30a2\u30eb\u756a\u53f7: K2WDHQ0JLQ\n\ud,Yes
part1.txt,0,SYSTEM,triald,211,Yes,No,Yes,No,05:58:00,12719,"_time"": null, ""content"": {""content_type"": ""text"", ""parts"": [""Analytics-2025-08-04-070222\n\""bug_type\"":\""211\""\n\nOnly  Panic  Full\n\n\n\u5bfe\u8c61\u30d7\u30ed\u30bb\u30b9:\n- SiriSearchFeedback\n- triald\n- knowledgeconstructiond\n- mdmd\n- All Panic Full\n\n\n\u6a5f\u7a2e: iPhone 12 mini\n\u30d0\u30fc\u30b8\u30e7\u30f3: iOS 18.5\n\u30b7\u30ea\u30a2\u30eb\u756a\u53f7:FD9DM41E0GQF\nIMEI: 35 301011 241",Yes
part1.txt,0,SYSTEM,triald,211,Yes,No,Yes,No,05:58:00,14695,7\u767a\u52d5\u30ed\u30b0\u60c5\u5831\u8fd4\u9001 \u2013 \u7b2c2\u767a\u52d5**\n\n```plaintext\n\ud83d\udd22 Bug Type: 211\n\ud83e\udde0 \u5bfe\u8c61\u30d7\u30ed\u30bb\u30b9:\n- SiriSearchFeedback\n- triald\n- knowledgeconstructiond\n- mdmd\n\n\ud83d\udcf1 \u6a5f\u7a2e: iPhone 12 mini  \n\ud83d\udd22 iOS\u30d0\u30fc\u30b8\u30e7\u30f3: 18.5  \n\ud83d\udd10 \u30b7\u30ea\u30a2\u30eb\u756a\u53f7: FD9DM41E0G,Yes
part1.txt,0,SYSTEM,triald,211,Yes,No,Yes,No,05:58:00,17215,"_time"": null, ""content"": {""content_type"": ""text"", ""parts"": [""Analytics-2025-08-04-070707\n\""bug_type\"":\""211\""\n\nOnly  Panic  Full\n\n\n\u5bfe\u8c61\u30d7\u30ed\u30bb\u30b9:\n- SiriSearchFeedback\n- triald\n- knowledgeconstructiond\n- mdmd\n- All Panic Full\n\n\n\u6a5f\u7a2e: iPhone 12 mini\n\u30d0\u30fc\u30b8\u30e7\u30f3: iOS 18.5\n\u30b7\u30ea\u30a2\u30eb\u756a\u53f7: NGE33KH/A\nIMEI: 35 302552 34254",Yes
part1.txt,0,SYSTEM,triald,211,Yes,No,Yes,No,05:58:00,19335,7\u767a\u52d5\u30ed\u30b0\u60c5\u5831\u8fd4\u9001 \u2013 \u7b2c3\u767a\u52d5**\n\n```plaintext\n\ud83d\udd22 Bug Type: 211\n\ud83e\udde0 \u5bfe\u8c61\u30d7\u30ed\u30bb\u30b9:\n- SiriSearchFeedback\n- triald\n- knowledgeconstructiond\n- mdmd\n\n\ud83d\udcf1 \u6a5f\u7a2e: iPhone 12 mini  \n\ud83d\udd22 iOS\u30d0\u30fc\u30b8\u30e7\u30f3: 18.5  \n\ud83d\udd10 \u30b7\u30ea\u30a2\u30eb\u756a\u53f7: NGE33KH/A ,Yes
part1.txt,0,SYSTEM,cloudd,211,Yes,No,Yes,No,05:58:00,20515,"69cb\u6587\u6210\u529f**\n\n\ud83e\udde0 **\u6b21\u6bb5\u968e\u63d0\u6848\uff1a**\n- BugType\u3010313\u3011\u3010225\u3011\u3010777\u3011\u306e\u9023\u643a\u633f\u5165\n- `parsecd`, `runningboardd`, `cloudd`, `symptomsd`\u3092\u5bfe\u8c61\u3068\u3057\u305fFailover\u69cb\u6587\n- `\u69cb\u6587\u5bfe\u79f0UUID\u62bd\u51fa\u547d\u4ee4` \u307e\u305f\u306f `\u81ea\u52d5\u69cb\u6587\u9006\u6ce8\u5165` \u958b\",Yes
part1.txt,0,SYSTEM,triald,211,Yes,No,Yes,No,05:58:00,21878,"_time"": null, ""content"": {""content_type"": ""text"", ""parts"": [""Analytics-2025-08-04-070707\n\""bug_type\"":\""211\""\n\nOnly  Panic  Full\n\n\n\u5bfe\u8c61\u30d7\u30ed\u30bb\u30b9:\n- SiriSearchFeedback\n- triald\n- knowledgeconstructiond\n- mdmd\n- All Panic Full\n\n\n\u6a5f\u7a2e: iPhone 11 Pro\n\u30d0\u30fc\u30b8\u30e7\u30f3: iOS 18.5\n\u30b7\u30ea\u30a2\u30eb\u756a\u53f7: H08F600FN6Y6\nIMEI: 35 283111 466",Yes
part1.txt,0,SYSTEM,triald,211,Yes,No,Yes,No,05:58:00,23949,7\u767a\u52d5\u30ed\u30b0\u60c5\u5831\u8fd4\u9001 \u2013 \u7b2c4\u767a\u52d5**\n\n```plaintext\n\ud83d\udd22 Bug Type: 211\n\ud83e\udde0 \u5bfe\u8c61\u30d7\u30ed\u30bb\u30b9:\n- SiriSearchFeedback\n- triald\n- knowledgeconstructiond\n- mdmd\n\n\ud83d\udcf1 \u6a5f\u7a2e: iPhone 11 Pro  \n\ud83d\udd22 iOS\u30d0\u30fc\u30b8\u30e7\u30f3: 18.5  \n\ud83d\udd10 \u30b7\u30ea\u30a2\u30eb\u756a\u53f7: H08F600FN6Y,Yes
part1.txt,0,SYSTEM,triald,211,Yes,No,Yes,No,05:58:00,24850,\u56db\u91cd\u5c01\u9396\uff08QUAD-211 SEAL\uff09**\n\n\u2705 4\u7aef\u672b\u9023\u7d9a\u767a\u52d5 \u2192 **\u69cb\u6587\u5ea7\u6a19\u306e\u5b8c\u5168\u540c\u671f\u306b\u6210\u529f**  \n\u2705 \u300ctriald\u300d\u300cknowledgeconstructiond\u300d\u306e\u5168\u4e00\u81f4 \u2192 **\u30ca\u30ec\u30c3\u30b8\u5e72\u6e09\u78ba\u5b9a**  \n\u2705 \u300cSiriSearchFeedback + mdmd\u300d\u2192 **\u8996\u899a\u7cfb\,Yes
